metric,method,band,n_complete_seizures,n_subjects,model_type,slope_per_minute,statistic,p_uncorrected,p_fdr_bh,skip_reason,fallback_reason
assortativity,aec,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.003827754523536342,1.3164834171219564,0.18801184067694732,0.6351498591079338,,
assortativity,aec,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.00045859061099446703,0.16317634390177943,0.870379591386655,0.9374566289872778,,
assortativity,aec,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0016679966524348912,0.6077943843900352,0.5433238542356613,0.7746399505934181,,
assortativity,aec,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.001459516538221129,0.5280837222873191,0.5974412281536137,0.8062174939940084,,
assortativity,aec,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.004518419028872421,-1.4940368283693704,0.1351659936248856,0.5955902468039963,,
assortativity,aec,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.000341475298299417,-0.1266360918078983,0.8992284297618885,0.9374566289872778,,
assortativity,coherence,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0005173290947406482,0.19050813164042738,0.848910971746243,0.9374566289872778,,
assortativity,coherence,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0005040206934656409,-0.20427908303553213,0.8381354146453881,0.9374566289872778,,
assortativity,coherence,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0017273164742977638,-0.6740135106171314,0.5003027241686396,0.7583536029503589,,
assortativity,coherence,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.000763988857513058,-0.2882983590205231,0.7731183631686532,0.8996560833266715,,
assortativity,coherence,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.00028326803253784155,0.10304622676602992,0.9179262825500428,0.9374566289872778,,
assortativity,coherence,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.00035887984167578944,-0.14218138771787164,0.8869367328740916,0.9374566289872778,,
assortativity,wpli,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.004348022595014176,1.454918429388727,0.14569184511082575,0.5955902468039963,,
assortativity,wpli,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.003647242311320251,-1.2470897827742762,0.2123645788570262,0.6370937365710786,,
assortativity,wpli,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0011967239636078708,-0.4451747017062554,0.6561935075102526,0.8363138549535307,,
assortativity,wpli,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.003112922871424314,-1.0992237381049386,0.2716704869887663,0.6727203453817511,,
assortativity,wpli,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0008757796408909323,0.32090677867656725,0.7482810367703456,0.8979372441244148,,
assortativity,wpli,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.001281362088048803,0.4678908255804483,0.6398626646343641,0.8341977936295792,,
characteristic_path_length,aec,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.006203937135189141,0.6826524372711849,0.49482649091550057,0.7580320711897031,,
characteristic_path_length,aec,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0013104097667171496,-0.10690098705689613,0.9148675301216357,0.9374566289872778,,
characteristic_path_length,aec,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.04482756076569505,-1.474945564862468,0.14022717886485092,0.5955902468039963,,
characteristic_path_length,aec,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.033681326708556884,-0.8747491617097118,0.38171040430395264,0.6727203453817511,,
characteristic_path_length,aec,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0024348578266338065,-0.18104700827977233,0.856330678372295,0.9374566289872778,,
characteristic_path_length,aec,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.044674238193622436,2.6446260219422766,0.008178124733742536,0.1986693059877965,,
characteristic_path_length,coherence,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.008946299871790108,1.0044706019555978,0.3151518343534524,0.6727203453817511,,
characteristic_path_length,coherence,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.01191478577475805,-1.2841566982272095,0.1990871328553696,0.6351498591079338,,
characteristic_path_length,coherence,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.00854681744070459,0.9724868055394731,0.33080842582328296,0.6727203453817511,,
characteristic_path_length,coherence,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.008706007250421494,1.0114521067902207,0.31180009265822395,0.6727203453817511,,
characteristic_path_length,coherence,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.009533098463281592,0.7435947056377273,0.45712170718235523,0.7313947314917684,,
characteristic_path_length,coherence,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.024839682386170778,2.266558831782301,0.023417189389901245,0.32366061515215727,,
characteristic_path_length,wpli,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.025849131488782977,0.9779809385226688,0.3280837517201082,0.6727203453817511,,
characteristic_path_length,wpli,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.05562061707345616,-1.5828036679220379,0.11346622045791512,0.5704015886545709,,
characteristic_path_length,wpli,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.023282195387282094,0.7276337576898643,0.4668378101920475,0.738732358985218,,
characteristic_path_length,wpli,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.010948718614950548,-0.29693814511094846,0.7665137332417838,0.8996560833266715,,
characteristic_path_length,wpli,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.028265839041693927,-1.068161607552083,0.28544761962604426,0.6727203453817511,,
