metric,method,band,n_complete_seizures,n_subjects,model_type,test_name,statistic,df1,df2,p_uncorrected,p_fdr_bh,effect_size,skip_reason,fallback_reason
characteristic_path_length,coherence,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.8921475496209865,3.0,,0.17986713984963604,0.5237584431853034,,,
characteristic_path_length,wpli,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.219156983956773,3.0,,0.3590539010480096,0.6305336798891876,,,
characteristic_path_length,wpli,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.4519723424293414,3.0,,0.48403331512451586,0.6970079737793029,,,
characteristic_path_length,wpli,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.9748889947491843,3.0,,0.2641884627638364,0.5846675139297397,,,
characteristic_path_length,wpli,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,0.5582268865320948,3.0,,0.9059251427077254,0.9395670141843885,,,
characteristic_path_length,wpli,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,12.32738600041387,3.0,,0.00634182107814239,0.15220370587541737,,,
characteristic_path_length,wpli,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,12.689712259836188,3.0,,0.0053580106294813645,0.15220370587541737,,,
clustering_coefficient,aec,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,5.006901541314401,3.0,,0.17129247653345056,0.5237584431853034,,,
clustering_coefficient,aec,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,0.883785493968916,3.0,,0.8293388744787723,0.9072804707855763,,,
clustering_coefficient,aec,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.795303848674935,3.0,,0.42427357075701944,0.6770298874729298,,,
clustering_coefficient,aec,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,0.6794886192571831,3.0,,0.878017497374782,0.934552671822563,,,
clustering_coefficient,aec,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,6.549975844618538,3.0,,0.08771227992781153,0.38226341563543,,,
clustering_coefficient,aec,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.3580556038240599,3.0,,0.7153954976216617,0.8655765730265133,,,
clustering_coefficient,coherence,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.1703813290471878,3.0,,0.7601165009493139,0.876353775755543,,,
clustering_coefficient,coherence,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,0.9056519253514377,3.0,,0.8240636594948202,0.9072804707855763,,,
clustering_coefficient,coherence,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.386780153208029,3.0,,0.708636441862199,0.8655765730265133,,,
clustering_coefficient,coherence,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.7427348645589094,3.0,,0.6274750211028086,0.8289672857533479,,,
clustering_coefficient,coherence,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,15.203136344607023,3.0,,0.00165103155918311,0.11887427226118392,,,
clustering_coefficient,coherence,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,8.797297380100193,3.0,,0.03211093252014145,0.2708724410409075,,,
clustering_coefficient,wpli,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,12.40227448690433,3.0,,0.006124825178443822,0.15220370587541737,,,
clustering_coefficient,wpli,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.8073367226381563,3.0,,0.4222935855318155,0.6770298874729298,,,
