metric,method,band,contrast,n_subjects,mean_baseline,mean_comparison,mean_difference,t,t_df,t_p_uncorrected,t_p_fdr_bh,cohen_dz,wilcoxon_statistic,wilcoxon_p_uncorrected,wilcoxon_p_fdr_bh,omnibus_p_fdr_bh,interpret_posthoc,skip_reason
assortativity,aec,theta,Baseline_vs_T1,24,0.2517986339314903,0.23861198458284072,-0.013186649348649564,-0.39410039410697684,23.0,0.6971371470309323,0.996872804237865,-0.08044540608265398,139.0,0.7682963609695435,0.9669384080536512,0.996861179388722,False,
assortativity,aec,theta,Baseline_vs_T2,24,0.2517986339314903,0.24153179788217494,-0.010266836049315399,-0.5229430126811108,23.0,0.6060156061357734,0.996872804237865,-0.10674529546854285,131.0,0.6033114194869995,0.9512063256145393,0.996861179388722,False,
assortativity,coherence,alpha1,Baseline_vs_T0,24,0.1334689287206404,0.1411237809175879,0.0076548521969475175,0.5439886010120252,23.0,0.5916842190716005,0.996872804237865,0.11104120819749386,131.0,0.6033114194869995,0.9512063256145393,0.8754429249632198,False,
assortativity,coherence,alpha1,Baseline_vs_T1,24,0.1334689287206404,0.16778153417712616,0.03431260545648577,1.7810873203209623,23.0,0.0881108532631768,0.7921147536740261,0.3635629268439479,78.0,0.03948163986206055,0.5979886488481001,0.8754429249632198,False,
assortativity,coherence,alpha1,Baseline_vs_T2,24,0.1334689287206404,0.14509536541817847,0.011626436697538073,0.46372784773007236,23.0,0.6472015378946886,0.996872804237865,0.09465805053814431,128.0,0.5456695556640625,0.9505211614793346,0.8754429249632198,False,
assortativity,coherence,alpha2,Baseline_vs_T0,24,0.12134904537229733,0.1173145564481302,-0.004034488924167128,-0.2123181610528024,23.0,0.8337292149415283,0.996872804237865,-0.04333926314211886,120.0,0.40611207485198975,0.9505211614793346,,False,
assortativity,coherence,alpha2,Baseline_vs_T1,24,0.12134904537229733,0.13970884292148142,0.0183597975491841,0.8209071342672745,23.0,0.42012674626337715,0.9723109562562193,0.16756696709710184,134.0,0.6634435653686523,0.9669384080536512,,False,
assortativity,coherence,alpha2,Baseline_vs_T2,24,0.12134904537229733,0.11421050605700152,-0.0071385393152957844,-0.34544953476285073,23.0,0.7328959823161844,0.996872804237865,-0.07051459100423531,144.0,0.8774070739746094,0.9669384080536512,,False,
assortativity,coherence,beta1,Baseline_vs_T0,24,0.14855097221203642,0.14740765112483337,-0.0011433210872030645,-0.049977565970203766,23.0,0.9605717556877055,0.996872804237865,-0.010201627934440311,138.0,0.746925950050354,0.9669384080536512,0.9553560541765119,False,
assortativity,coherence,beta1,Baseline_vs_T1,24,0.14855097221203642,0.14430941553654503,-0.004241556675491401,-0.2324385603843084,23.0,0.8182532729053571,0.996872804237865,-0.047446322457387655,131.0,0.6033114194869995,0.9512063256145393,0.9553560541765119,False,
assortativity,coherence,beta1,Baseline_vs_T2,24,0.14855097221203642,0.12707564667820248,-0.02147532553383395,-1.016721697354591,23.0,0.3198624376045598,0.9702209526314701,-0.20753744741126445,121.0,0.4223414659500122,0.9505211614793346,0.9553560541765119,False,
assortativity,coherence,beta2,Baseline_vs_T0,24,0.2013259069219402,0.17390958896693623,-0.027416317955003936,-0.8810711250593771,23.0,0.38739396792817893,0.9723109562562193,-0.1798478902912816,126.0,0.5087660551071167,0.9505211614793346,0.9346311268387354,False,
assortativity,coherence,beta2,Baseline_vs_T1,24,0.2013259069219402,0.15730458799441602,-0.044021318927524145,-1.5988278533551945,23.0,0.12350730200059265,0.8310405404656145,-0.32635936893913303,91.0,0.09509599208831787,0.8055189918069279,0.9346311268387354,False,
assortativity,coherence,beta2,Baseline_vs_T2,24,0.2013259069219402,0.17312705054466515,-0.028198856377275008,-0.9708170104289464,23.0,0.34173894575568614,0.9710639594472916,-0.19816719243042782,118.0,0.37475037574768066,0.9505211614793346,0.9346311268387354,False,
assortativity,coherence,delta,Baseline_vs_T0,24,0.2741827679400041,0.2759179290993837,0.0017351611593796126,0.06682042488902076,23.0,0.9473021285625249,0.996872804237865,0.013639662114505843,125.0,0.49079859256744385,0.9505211614793346,0.9346311268387354,False,
