metric,method,band,contrast,n_pairs,n_subjects,mean_baseline,mean_comparison,mean_difference,t,t_df,t_p_uncorrected,t_p_fdr_bh,cohen_dz,wilcoxon_statistic,wilcoxon_p_uncorrected,wilcoxon_p_fdr_bh,omnibus_p_fdr_bh,interpret_posthoc,skip_reason
assortativity,aec,beta2,Baseline_vs_T2,155,24,0.22181361451149872,0.2048900904779163,-0.01692352403358246,-0.8812753956516048,154.0,0.37954213286216604,0.7069282866282292,-0.07078574318735663,5531.0,0.3584885949278326,0.6851314297118134,0.6008903696598039,False,
assortativity,aec,delta,Baseline_vs_T0,155,24,0.22629044865472,0.21831423448042822,-0.007976214174291807,-0.410240681636693,154.0,0.6821995634990505,0.8978907497057177,-0.03295132449927283,5821.0,0.6890307872328476,0.8851623397818827,0.6008903696598039,False,
assortativity,aec,delta,Baseline_vs_T1,155,24,0.22629044865472,0.19802836700380078,-0.028262081650919212,-1.425250374376209,154.0,0.15610845511042706,0.5813694190319353,-0.1144788649224494,5449.0,0.2869936391193688,0.661334700749326,0.6008903696598039,False,
assortativity,aec,delta,Baseline_vs_T2,155,24,0.22629044865472,0.19498914468339412,-0.031301303971325876,-1.4657084671289022,154.0,0.14476652354714933,0.5583851622532903,-0.1177285371333987,5278.0,0.17061593325672952,0.5392621432203869,0.6008903696598039,False,
assortativity,aec,theta,Baseline_vs_T0,155,24,0.2207899327604436,0.21803277845584035,-0.0027571543046032263,-0.14657019633576793,154.0,0.8836629742698332,0.9768139687654421,-0.011772801473792302,5869.0,0.7532021875836995,0.9038426251004393,0.8655765730265133,False,
assortativity,aec,theta,Baseline_vs_T1,155,24,0.2207899327604436,0.20191079922330818,-0.018879133537135332,-0.9393677538752334,154.0,0.3490129899236171,0.6993248101947163,-0.07545183368603127,5698.0,0.5353188172767138,0.816788232136703,0.8655765730265133,False,
assortativity,aec,theta,Baseline_vs_T2,155,24,0.2207899327604436,0.21508786716645625,-0.005702065593987288,-0.29983886900382983,154.0,0.7647043920857292,0.9165925132241632,-0.024083637514014048,5976.0,0.9018957745546743,0.9737571447584864,0.8655765730265133,False,
assortativity,coherence,alpha1,Baseline_vs_T0,155,24,0.11214402230561826,0.12136184761756735,0.009217825311949117,0.545252126086166,154.0,0.5863689518579293,0.841566070440616,0.043795704679759094,5768.0,0.6207032138803491,0.8584307991390332,0.47868969330550665,False,
assortativity,coherence,alpha1,Baseline_vs_T1,155,24,0.11214402230561826,0.15192655251879372,0.039782530213175474,2.2718085024179637,154.0,0.02448275904906124,0.3002526284259111,0.18247605007071477,4716.0,0.017585730226244524,0.3586663761222973,0.47868969330550665,False,
assortativity,coherence,alpha1,Baseline_vs_T2,155,24,0.11214402230561826,0.12636645223737458,0.014222429931756306,0.7651254749414447,154.0,0.4453677844440703,0.7695955315193534,0.06145635705086729,5593.0,0.419385775292227,0.7335006272317492,0.47868969330550665,False,
