metric,method,band,window,n,mean,std,median,min,max,sem,ci95_lower,ci95_upper
assortativity,wpli,delta,T0,159,-0.21109299343724872,0.16647691694346722,-0.2124604526648831,-0.7285766826038993,0.1224489795918368,0.013202478296748445,-0.23716910366130992,-0.18501688321318752
assortativity,wpli,delta,T1,159,-0.22128680212097174,0.1616498309040689,-0.2088254844812609,-0.7285766826038993,0.2269736842105254,0.01281966547295417,-0.24660682177142434,-0.19596678247051913
assortativity,wpli,delta,T2,159,-0.2058383155919031,0.16140501067251223,-0.2094510293200251,-0.6739423810362024,0.2579189957830742,0.01280024996566898,-0.23111998782782905,-0.18055664335597715
assortativity,wpli,theta,Baseline,155,-0.22441411277418416,0.17891289921679782,-0.2479256554928668,-0.5694124158287996,0.2492539933298228,0.014370629884091676,-0.2528031204995128,-0.1960251050488555
assortativity,wpli,theta,T0,159,-0.23418938726345154,0.15948941992031102,-0.2432805694252637,-0.5780699694764025,0.2576593720266413,0.012648333737306961,-0.25917101096102335,-0.20920776356587975
assortativity,wpli,theta,T1,159,-0.21304257643656216,0.17280242088196848,-0.2234743640437598,-0.6139953025026315,0.4350523458704931,0.013704123389637925,-0.2401094819069043,-0.18597567096622003
assortativity,wpli,theta,T2,159,-0.22650121473515875,0.15069141519839313,-0.2224406472100406,-0.6144055295654729,0.334292353657186,0.011950606577719692,-0.2501047630509138,-0.20289766641940368
characteristic_path_length,aec,alpha1,Baseline,155,4.375659881813988,0.5683145300526148,4.45591447799396,2.4080932336747787,5.793305401447398,0.04564812154344003,4.285482562824092,4.465837200803883
characteristic_path_length,aec,alpha1,T0,159,4.353904561300772,0.6208524020137653,4.404406498706992,2.104187250664878,6.936592661797541,0.04923679819139353,4.256657351507226,4.4511517710943185
characteristic_path_length,aec,alpha1,T1,159,4.408734060774547,0.5125393343777134,4.495925622833171,2.6397426897970653,5.667655386188169,0.04064701318711677,4.3284524672492495,4.489015654299845
characteristic_path_length,aec,alpha1,T2,159,4.391128184111906,0.5040930273877652,4.422543233009041,2.501773998661436,5.675271982460462,0.039977177471932704,4.312169577797688,4.470086790426125
characteristic_path_length,aec,alpha2,Baseline,155,5.982321591893892,1.051155853554832,6.120801163522415,2.6044998693653314,8.55109864398087,0.08443086992642455,5.8155294166079035,6.14911376717988
characteristic_path_length,aec,alpha2,T0,159,5.92424048571323,1.0956244436028353,6.06292624043882,2.8514690299795724,9.048619111506692,0.08688867023507879,5.752627361923431,6.0958536095030285
characteristic_path_length,aec,alpha2,T1,159,5.935741128682842,1.0884434558877087,6.1041269594569005,2.483318767093011,8.210780334573213,0.08631918086562843,5.765252798832139,6.106229458533545
characteristic_path_length,aec,alpha2,T2,159,5.916378027112927,1.1555410977452396,6.139621703913596,2.7788415869185936,9.951984411862554,0.09164036999293472,5.7353798587994795,6.097376195426374
characteristic_path_length,aec,beta1,Baseline,155,10.23048797709805,3.2211750364168217,10.31219551361646,3.6571931799625497,17.496971580622706,0.25873100510282016,9.71936796622246,10.74160798797364
characteristic_path_length,aec,beta1,T0,159,10.728329443963299,3.3117465845220053,10.945542522570388,2.555935115223261,20.527249937693085,0.2626385880351824,10.209594050746714,11.247064837179883
characteristic_path_length,aec,beta1,T1,159,10.664981106764172,3.3605777190846533,11.033293132575691,2.6713935649279805,20.120747051494323,0.26651114890491484,10.138597049272684,11.191365164255659
characteristic_path_length,aec,beta1,T2,159,10.459364079369127,3.206070312746957,10.822904810239743,3.497321034396308,17.861157768097005,0.2542579145447841,9.957181287927417,10.961546870810837
characteristic_path_length,aec,beta2,Baseline,155,11.963330909644533,4.545124578836939,11.475637664046417,2.218146770259993,25.202596878001103,0.3650731913991659,11.242133179653981,12.684528639635085
characteristic_path_length,aec,beta2,T0,159,12.490223288300154,4.072727592432295,12.63865823705191,2.410454878481048,22.665485136530467,0.32298830753764707,11.852291642503854,13.128154934096454
characteristic_path_length,aec,beta2,T1,159,12.49636820401613,4.08605244545444,12.204738398104933,3.188743863111833,23.51861305783123,0.32404503711951443,11.856349419999685,13.136386988032577
characteristic_path_length,aec,beta2,T2,159,12.288135328048812,4.0502588643241815,12.049845252618905,3.41870021796101,23.116836483322054,0.3212064214921262,11.653723071255497,12.922547584842127
characteristic_path_length,aec,delta,Baseline,155,4.350686502705345,0.9350947034783711,4.526037356417235,2.005839206910796,6.951519641320667,0.07510861401881784,4.202310332640638,4.4990626727700525
characteristic_path_length,aec,delta,T0,159,4.358711892437282,0.8703549760100205,4.46467157516231,2.1421471340959903,7.897621811302241,0.06902363938624241,4.222383849455777,4.495039935418787
characteristic_path_length,aec,delta,T1,159,4.3384206641809655,0.9234278276446459,4.506891638376098,1.791370249675425,7.3868847698874225,0.07323259030098475,4.193779555613318,4.483061772748613
characteristic_path_length,aec,delta,T2,159,4.344102745477479,0.8458950731083383,4.458639123233529,1.8568507542931456,6.9530510578307885,0.06708384290797331,4.211605979142878,4.47659951181208
characteristic_path_length,aec,theta,Baseline,155,6.481240575018039,1.8681386420090211,6.599764909964187,3.0015752900178687,14.447036157365629,0.15005250663313116,6.184813640056159,6.777667509979919
characteristic_path_length,aec,theta,T0,159,6.243458698450848,1.6229213410478018,6.272666944698362,2.57888955410975,9.686342893696844,0.12870603430137761,5.989252430391987,6.497664966509708
characteristic_path_length,aec,theta,T1,159,6.464235630779728,1.5641228120619362,6.561322323065169,2.777988568122482,10.952305032663322,0.12404300763636412,6.219239269721781,6.709231991837676
characteristic_path_length,aec,theta,T2,159,6.511504127612583,1.5470234379322565,6.449752315681577,2.703178397436371,11.138218169182588,0.1226869390595311,6.2691861268507925,6.753822128374374
characteristic_path_length,coherence,alpha1,Baseline,155,5.029990668219931,0.6467064091628997,5.163804831175702,2.6964973601254534,7.447105675536535,0.05194470879647691,4.92737451630403,5.132606820135831
characteristic_path_length,coherence,alpha1,T0,159,5.032455982446061,0.7288038520399192,5.145898115758979,2.339528316008717,7.519421501255738,0.05779790505377496,4.918299798354984,5.146612166537138
characteristic_path_length,coherence,alpha1,T1,159,5.079129363992128,0.6444735039643192,5.186555625105237,2.709648365962034,6.512276520204924,0.0511100734272232,4.978182263130287,5.180076464853969
characteristic_path_length,coherence,alpha1,T2,159,5.086133781676802,0.6328205111572393,5.157349780511605,2.826382795784056,6.719919537198587,0.05018593098482151,4.987011947227005,5.185255616126598
characteristic_path_length,coherence,alpha2,Baseline,155,5.16936980974007,0.6709630759637928,5.232088353004239,2.1676606667805305,6.641543359897674,0.0538930511593994,5.062904730752864,5.275834888727276
