metric,method,band,n_subjects_complete,model_type,test_name,statistic,df1,df2,p_uncorrected,p_fdr_bh,effect_size,skip_reason,fallback_reason
characteristic_path_length,wpli,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.215627368559479,3.0,,0.528876829917281,0.9346311268387354,,,
characteristic_path_length,wpli,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.9082372071774867,3.0,,0.5916690784147018,0.9346311268387354,,,
characteristic_path_length,wpli,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.174977943582131,3.0,,0.5368937374176879,0.9346311268387354,,,
characteristic_path_length,wpli,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,10.552928101217416,3.0,,0.014406120385782128,0.26334133545858984,,,
clustering_coefficient,aec,alpha1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,6.148134785550038,3.0,,0.10462140539387203,0.680163046486138,,,
clustering_coefficient,aec,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.008199444667248,3.0,,0.5707066244297352,0.9346311268387354,,,
clustering_coefficient,aec,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.7489776841039442,3.0,,0.6261003869345132,0.9476113964414254,,,
clustering_coefficient,aec,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,3.6695945376028236,3.0,,0.2994231841383011,0.8754429249632198,,,
clustering_coefficient,aec,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.5293675590363305,3.0,,0.6755090872691036,0.9576837692929063,,,
clustering_coefficient,aec,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.9855077799738773,3.0,,0.8047585880588961,0.996861179388722,,,
clustering_coefficient,coherence,alpha1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.6852647231370297,3.0,,0.8766642402589206,0.996861179388722,,,
clustering_coefficient,coherence,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.38181411315181,3.0,,0.7098030863485103,0.981456119395471,,,
clustering_coefficient,coherence,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,0.2672914245749406,3.0,,0.9660579264891352,0.996861179388722,,,
clustering_coefficient,coherence,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,3.7495406255616013,3.0,,0.28981020976626587,0.8754429249632198,,,
clustering_coefficient,coherence,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,5.073651461967154,3.0,,0.16648278494266058,0.8301257564718311,,,
clustering_coefficient,coherence,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,3.5529544071940644,3.0,,0.31395877740321443,0.8754429249632198,,,
clustering_coefficient,wpli,alpha1,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,2.0806192050236367,3.0,,,,0.08295725029814614,,mixed model failed: Singular matrix
clustering_coefficient,wpli,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,3.669308631982483,3.0,,0.29945806779889533,0.8754429249632198,,,
clustering_coefficient,wpli,beta1,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,2.873387440084085,3.0,,,,0.11105571107525405,,mixed model failed: Singular matrix
